@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2}

@data
539,'2017/02/18 17:15:27:208',2,790.952393,863.076904,850.58606,805.860779,816.336975,1
540,'2017/02/18 17:15:27:208',2,774.835144,838.901123,857.838806,828.021973,834.065918,1
541,'2017/02/18 17:15:27:209',2,815.531128,836.483521,857.032959,857.435913,803.84613,1
542,'2017/02/18 17:15:27:210',2,791.75824,860.256409,852.197815,868.315002,840.109863,1
543,'2017/02/18 17:15:27:211',2,798.205139,845.347961,844.945068,787.728943,878.791199,1
544,'2017/02/18 17:15:27:213',2,788.131897,843.736267,850.58606,873.553101,842.527466,1
545,'2017/02/18 17:15:27:214',2,775.238098,850.58606,845.347961,853.406616,823.589722,1
546,'2017/02/18 17:15:27:215',2,801.831482,834.468872,844.945068,833.663025,840.915771,1
547,'2017/02/18 17:15:27:216',2,756.300354,853.406616,845.750916,832.454224,902.161194,1
548,'2017/02/18 17:15:27:216',2,786.117188,849.780212,847.36261,886.446899,870.732605,1
549,'2017/02/18 17:15:27:217',2,800.622681,849.377319,843.736267,836.886475,776.043945,1
550,'2017/02/18 17:15:27:217',2,795.384644,855.421265,846.15387,848.168518,777.655701,1
551,'2017/02/18 17:15:27:218',2,780.476196,855.018311,840.915771,856.227112,826.410278,1
552,'2017/02/18 17:15:27:220',2,753.882813,861.46521,837.692322,880.402954,865.897461,1
553,'2017/02/18 17:15:27:221',2,756.300354,852.600708,832.454224,829.633728,838.498169,1
554,'2017/02/18 17:15:27:223',2,754.285706,856.227112,830.842468,816.336975,867.106201,1
555,'2017/02/18 17:15:27:224',2,788.53479,857.838806,832.857117,879.597046,877.582397,1
556,'2017/02/18 17:15:27:225',2,768.791199,856.630066,833.663025,854.615356,861.46521,1
557,'2017/02/18 17:15:27:229',2,765.164856,850.183167,836.886475,863.882813,837.692322,1
558,'2017/02/18 17:15:27:233',2,783.699646,855.824158,838.095215,888.058594,843.736267,1
559,'2017/02/18 17:15:27:233',2,770.805847,848.974365,828.021973,861.868103,827.216125,1
560,'2017/02/18 17:15:27:234',2,782.087891,853.406616,830.439575,833.663025,834.871765,1
561,'2017/02/18 17:15:27:236',2,796.593384,847.765564,837.289368,869.12085,838.901123,1
562,'2017/02/18 17:15:27:241',2,768.388306,834.871765,843.736267,869.523804,813.919434,1
563,'2017/02/18 17:15:27:242',2,754.68866,836.886475,846.556763,834.065918,878.791199,1
564,'2017/02/18 17:15:27:243',2,747.838806,831.648376,854.615356,816.739929,846.959717,1
565,'2017/02/18 17:15:27:244',2,758.717957,834.468872,857.838806,863.882813,826.410278,1
566,'2017/02/18 17:15:27:245',2,773.22345,840.915771,855.421265,824.798523,875.164856,1
567,'2017/02/18 17:15:27:246',2,789.743591,848.168518,850.989014,823.589722,849.377319,1
